#x-axis,1,2
#second,Volt,Volt
-789.700E-03,-20.101E-03,-8.794E-03
-787.800E-03,-20.101E-03,+0.0E+00
-785.900E-03,-20.101E-03,-8.794E-03
-784.000E-03,-38.945E-03,+0.0E+00
-782.100E-03,-60.302E-03,+28.894E-03
-780.200E-03,-60.302E-03,+20.101E-03
-778.300E-03,-48.995E-03,+20.101E-03
-776.400E-03,-20.101E-03,+20.101E-03
-774.500E-03,-8.794E-03,-8.794E-03
-772.600E-03,-18.844E-03,-18.844E-03
-770.700E-03,-20.101E-03,+0.0E+00
-768.800E-03,+0.0E+00,+0.0E+00
-766.900E-03,+0.0E+00,-8.794E-03
-765.000E-03,-20.101E-03,+0.0E+00
-763.100E-03,-8.794E-03,+0.0E+00
-761.200E-03,-20.101E-03,+0.0E+00
-759.300E-03,-8.794E-03,+0.0E+00
-757.400E-03,-20.101E-03,+0.0E+00
-755.500E-03,-10.050E-03,+0.0E+00
-753.600E-03,+0.0E+00,-18.844E-03
-751.700E-03,-8.794E-03,-20.101E-03
-749.800E-03,-20.101E-03,+0.0E+00
-747.900E-03,+0.0E+00,+10.050E-03
-746.000E-03,-18.844E-03,+0.0E+00
-744.100E-03,-8.794E-03,+8.794E-03
-742.200E-03,+40.201E-03,+59.045E-03
-740.300E-03,+90.452E-03,+40.201E-03
-738.400E-03,+59.045E-03,+0.0E+00
-736.500E-03,+20.101E-03,-20.101E-03
-734.600E-03,-18.844E-03,-18.844E-03
-732.700E-03,-20.101E-03,+0.0E+00
-730.800E-03,+0.0E+00,-20.101E-03
-728.900E-03,-10.050E-03,-8.794E-03
-727.000E-03,-20.101E-03,-18.844E-03
-725.100E-03,-8.794E-03,+0.0E+00
-723.200E-03,-20.101E-03,+0.0E+00
-721.300E-03,-30.151E-03,-10.050E-03
-719.400E-03,-20.101E-03,+0.0E+00
-717.500E-03,-8.794E-03,-8.794E-03
-715.600E-03,-20.101E-03,-20.101E-03
-713.700E-03,-10.050E-03,-10.050E-03
-711.800E-03,-38.945E-03,-18.844E-03
-709.900E-03,-20.101E-03,+0.0E+00
-708.000E-03,-18.844E-03,+0.0E+00
-706.100E-03,-20.101E-03,+0.0E+00
-704.200E-03,-40.201E-03,+0.0E+00
-702.300E-03,-110.553E-03,-8.794E-03
-700.400E-03,-120.603E-03,+38.945E-03
-698.500E-03,-80.402E-03,+48.995E-03
-696.600E-03,-40.201E-03,+0.0E+00
-694.700E-03,-20.101E-03,+0.0E+00
-692.800E-03,-20.101E-03,+0.0E+00
-690.900E-03,-20.101E-03,+0.0E+00
-689.000E-03,-20.101E-03,+0.0E+00
-687.100E-03,-8.794E-03,+8.794E-03
-685.200E-03,-18.844E-03,+0.0E+00
-683.300E-03,-20.101E-03,+0.0E+00
-681.400E-03,+0.0E+00,+0.0E+00
-679.500E-03,+0.0E+00,+8.794E-03
-677.600E-03,-20.101E-03,+18.844E-03
-675.700E-03,-8.794E-03,+0.0E+00
-673.800E-03,+0.0E+00,+0.0E+00
-671.900E-03,-20.101E-03,+10.050E-03
-670.000E-03,+18.844E-03,+0.0E+00
-668.100E-03,-10.050E-03,-8.794E-03
-666.200E-03,-20.101E-03,+0.0E+00
-664.300E-03,+8.794E-03,+0.0E+00
-662.400E-03,+79.146E-03,+40.201E-03
-660.500E-03,+120.603E-03,+28.894E-03
-658.600E-03,+119.347E-03,+0.0E+00
-656.700E-03,+30.151E-03,-30.151E-03
-654.800E-03,+0.0E+00,-38.945E-03
-652.900E-03,-8.794E-03,-8.794E-03
-651.000E-03,-18.844E-03,+0.0E+00
-649.100E-03,-10.050E-03,+0.0E+00
-647.200E-03,+0.0E+00,-20.101E-03
-645.300E-03,-20.101E-03,-8.794E-03
-643.400E-03,+0.0E+00,-18.844E-03
-641.500E-03,-20.101E-03,+10.050E-03
-639.600E-03,-20.101E-03,+0.0E+00
-637.700E-03,+0.0E+00,+0.0E+00
-635.800E-03,-18.844E-03,+0.0E+00
-633.900E-03,-8.794E-03,-20.101E-03
-632.000E-03,-20.101E-03,-18.844E-03
-630.100E-03,-40.201E-03,-8.794E-03
-628.200E-03,-20.101E-03,+0.0E+00
-626.300E-03,-20.101E-03,-8.794E-03
-624.400E-03,-59.045E-03,-20.101E-03
-622.500E-03,-120.603E-03,-20.101E-03
-620.600E-03,-160.804E-03,+20.101E-03
-618.700E-03,-140.704E-03,+48.995E-03
-616.800E-03,-60.302E-03,+40.201E-03
-614.900E-03,-28.894E-03,+20.101E-03
-613.000E-03,+0.0E+00,+0.0E+00
-611.100E-03,-30.151E-03,+0.0E+00
-609.200E-03,-20.101E-03,+0.0E+00
-607.300E-03,-20.101E-03,-10.050E-03
-605.400E-03,+0.0E+00,+0.0E+00
-603.500E-03,-30.151E-03,+10.050E-03
-601.600E-03,-20.101E-03,+18.844E-03
-599.700E-03,-20.101E-03,+0.0E+00
-597.800E-03,-20.101E-03,+0.0E+00
-595.900E-03,-20.101E-03,-8.794E-03
-594.000E-03,-38.945E-03,-18.844E-03
-592.100E-03,-8.794E-03,+10.050E-03
-590.200E-03,+0.0E+00,+0.0E+00
-588.300E-03,-20.101E-03,+0.0E+00
-586.400E-03,+0.0E+00,+0.0E+00
-584.500E-03,+20.101E-03,+8.794E-03
-582.600E-03,+80.402E-03,+40.201E-03
-580.700E-03,+160.804E-03,+18.844E-03
-578.800E-03,+120.603E-03,-20.101E-03
-576.900E-03,+60.302E-03,-28.894E-03
-575.000E-03,+0.0E+00,-20.101E-03
-573.100E-03,+0.0E+00,-20.101E-03
-571.200E-03,+0.0E+00,-20.101E-03
-569.300E-03,+8.794E-03,-20.101E-03
-567.400E-03,+0.0E+00,+0.0E+00
-565.500E-03,+0.0E+00,+0.0E+00
-563.600E-03,-18.844E-03,-18.844E-03
-561.700E-03,-8.794E-03,-8.794E-03
-559.800E-03,+0.0E+00,+0.0E+00
-557.900E-03,-30.151E-03,+10.050E-03
-556.000E-03,-18.844E-03,+0.0E+00
-554.100E-03,-20.101E-03,-10.050E-03
-552.200E-03,-20.101E-03,-20.101E-03
-550.300E-03,-20.101E-03,-8.794E-03
-548.400E-03,+0.0E+00,-18.844E-03
-546.500E-03,-10.050E-03,-20.101E-03
-544.600E-03,-40.201E-03,-40.201E-03
-542.700E-03,-80.402E-03,-50.251E-03
-540.800E-03,-180.905E-03,+0.0E+00
-538.900E-03,-149.497E-03,+30.151E-03
-537.000E-03,-79.146E-03,+38.945E-03
-535.100E-03,-40.201E-03,+8.794E-03
-533.200E-03,-20.101E-03,+0.0E+00
-531.300E-03,-30.151E-03,-8.794E-03
-529.400E-03,-38.945E-03,+0.0E+00
-527.500E-03,-18.844E-03,-20.101E-03
-525.600E-03,+0.0E+00,+0.0E+00
-523.700E-03,-20.101E-03,+8.794E-03
-521.800E-03,-18.844E-03,+0.0E+00
-519.900E-03,-10.050E-03,+20.101E-03
-518.000E-03,+0.0E+00,+0.0E+00
-516.100E-03,-8.794E-03,+0.0E+00
-514.200E-03,-18.844E-03,+20.101E-03
-512.300E-03,+0.0E+00,+0.0E+00
-510.400E-03,+18.844E-03,+0.0E+00
-508.500E-03,-8.794E-03,-8.794E-03
-506.600E-03,+0.0E+00,+0.0E+00
-504.700E-03,+8.794E-03,+30.151E-03
-502.800E-03,+79.146E-03,+20.101E-03
-500.900E-03,+140.704E-03,+0.0E+00
-499.000E-03,+139.447E-03,-40.201E-03
-497.100E-03,+50.251E-03,-60.302E-03
-495.200E-03,+0.0E+00,-20.101E-03
-493.300E-03,+0.0E+00,+0.0E+00
-491.400E-03,+0.0E+00,+0.0E+00
-489.500E-03,+0.0E+00,+0.0E+00
-487.600E-03,-18.844E-03,-20.101E-03
-485.700E-03,+0.0E+00,-8.794E-03
-483.800E-03,-20.101E-03,+18.844E-03
-481.900E-03,-20.101E-03,+0.0E+00
-480.000E-03,+0.0E+00,-18.844E-03
-478.100E-03,-10.050E-03,+8.794E-03
-476.200E-03,+0.0E+00,-18.844E-03
-474.300E-03,-10.050E-03,-8.794E-03
-472.400E-03,+0.0E+00,+0.0E+00
-470.500E-03,-40.201E-03,-20.101E-03
-468.600E-03,-20.101E-03,+0.0E+00
-466.700E-03,-20.101E-03,-20.101E-03
-464.800E-03,-20.101E-03,-20.101E-03
-462.900E-03,-80.402E-03,-50.251E-03
-461.000E-03,-160.804E-03,-20.101E-03
-459.100E-03,-160.804E-03,+20.101E-03
-457.200E-03,-60.302E-03,+40.201E-03
-455.300E-03,-30.151E-03,+20.101E-03
-453.400E-03,-20.101E-03,+0.0E+00
-451.500E-03,-28.894E-03,+0.0E+00
-449.600E-03,-20.101E-03,-18.844E-03
